"trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear"
"21742459,2019-01-01 00:24:13,2019-01-01 00:31:00,3373,407.0,152,Lincoln Ave & Diversey Pkwy,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1967"
"21742460,2019-01-01 00:24:27,2019-01-01 00:47:03,5777,""1,356.0"",268,Lake Shore Dr & North Blvd,319,Greenview Ave & Diversey Pkwy,Customer,Female,1990"
"21742461,2019-01-01 00:25:28,2019-01-01 00:27:10,3940,102.0,35,Streeter Dr & Grand Ave,35,Streeter Dr & Grand Ave,Subscriber,Male,1985"
"21742463,2019-01-01 00:29:19,2019-01-01 01:08:12,3914,""2,333.0"",35,Streeter Dr & Grand Ave,39,Wabash Ave & Adams St,Customer,,"
"21742464,2019-01-01 00:29:21,2019-01-01 00:45:21,140,960.0,47,State St & Kinzie St,111,Sedgwick St & Huron St,Subscriber,Male,1957"
"21742465,2019-01-01 00:29:28,2019-01-01 01:07:49,3355,""2,301.0"",35,Streeter Dr & Grand Ave,39,Wabash Ave & Adams St,Customer,,"
"21742466,2019-01-01 00:29:47,2019-01-01 00:49:15,5026,""1,168.0"",85,Michigan Ave & Oak St,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1959"
"21742467,2019-01-01 00:30:48,2019-01-01 00:38:42,1998,474.0,289,Wells St & Concord Ln,313,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1994"
"21742468,2019-01-01 00:33:09,2019-01-01 00:50:25,2630,""1,036.0"",13,Wilton Ave & Diversey Pkwy,61,Wood St & Milwaukee Ave,Subscriber,Male,1991"
"21742469,2019-01-01 00:34:35,2019-01-01 00:38:25,3722,230.0,520,Greenview Ave & Jarvis Ave,523,Eastlake Ter & Rogers Ave,Subscriber,Male,1961"
"21742471,2019-01-01 00:38:11,2019-01-01 00:50:38,1166,747.0,256,Broadway & Sheridan Rd,297,Paulina St & Montrose Ave,Subscriber,Male,1968"
"21742472,2019-01-01 00:38:47,2019-01-01 00:50:38,1704,711.0,256,Broadway & Sheridan Rd,297,Paulina St & Montrose Ave,Subscriber,Male,1964"
"21742473,2019-01-01 00:40:16,2019-01-01 00:49:29,1476,553.0,254,Pine Grove Ave & Irving Park Rd,465,Marine Dr & Ainslie St,Subscriber,Male,1990"
"21742474,2019-01-01 00:41:46,2019-01-01 00:50:27,4614,521.0,66,Clinton St & Lake St,52,Michigan Ave & Lake St,Subscriber,Male,1994"
"21742475,2019-01-01 00:45:37,2019-01-01 01:17:51,5583,""1,934.0"",464,Damen Ave & Foster Ave,30,Ashland Ave & Augusta Blvd,Subscriber,Male,1991"
"21742476,2019-01-01 00:45:45,2019-01-01 00:50:00,1158,255.0,418,Ellis Ave & 53rd St,121,Blackstone Ave & Hyde Park Blvd,Subscriber,Male,1988"
"21742477,2019-01-01 00:46:19,2019-01-01 00:51:26,2314,307.0,144,Larrabee St & Webster Ave,313,Lakeview Ave & Fullerton Pkwy,Subscriber,Female,1961"
"21742478,2019-01-01 00:47:49,2019-01-01 00:54:56,1411,427.0,253,Winthrop Ave & Lawrence Ave,463,Clark St & Berwyn Ave,Subscriber,Male,1984"
"21742479,2019-01-01 00:48:44,2019-01-01 00:59:39,6336,655.0,304,Broadway & Waveland Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Male,1988"
"21742480,2019-01-01 00:51:55,2019-01-01 00:54:49,5629,174.0,206,Halsted St & Archer Ave,135,Halsted St & 21st St,Subscriber,Male,1989"
"21742481,2019-01-01 00:55:35,2019-01-01 00:57:35,5248,120.0,522,Bosworth Ave & Howard St,520,Greenview Ave & Jarvis Ave,Subscriber,Male,1976"
"21742483,2019-01-01 00:58:09,2019-01-01 01:15:33,5875,""1,044.0"",144,Larrabee St & Webster Ave,185,Stave St & Armitage Ave,Subscriber,Male,1989"
"21742484,2019-01-01 00:58:33,2019-01-01 01:05:17,6312,404.0,193,State St & 29th St,120,Wentworth Ave & Cermak Rd (Temp),Subscriber,Male,1992"
"21742485,2019-01-01 00:58:44,2019-01-01 01:07:45,781,541.0,260,Kedzie Ave & Milwaukee Ave,507,Humboldt Blvd & Armitage Ave,Subscriber,Male,1988"
"21742486,2019-01-01 00:58:55,2019-01-01 01:07:50,2448,535.0,260,Kedzie Ave & Milwaukee Ave,507,Humboldt Blvd & Armitage Ave,Subscriber,Female,1988"
"21742487,2019-01-01 01:02:54,2019-01-01 01:22:01,368,""1,147.0"",636,Orleans St & Hubbard St (*),214,Damen Ave & Grand Ave,Customer,Male,1988"
"21742488,2019-01-01 01:03:57,2019-01-01 01:08:35,1170,278.0,35,Streeter Dr & Grand Ave,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Male,1994"
"21742489,2019-01-01 01:04:24,2019-01-01 01:19:33,297,909.0,240,Sheridan Rd & Irving Park Rd,465,Marine Dr & Ainslie St,Subscriber,Male,1993"
"21742490,2019-01-01 01:04:29,2019-01-01 01:10:52,1998,383.0,313,Lakeview Ave & Fullerton Pkwy,127,Lincoln Ave & Fullerton Ave,Subscriber,Female,1993"
"21742491,2019-01-01 01:04:33,2019-01-01 01:22:12,3942,""1,059.0"",636,Orleans St & Hubbard St (*),214,Damen Ave & Grand Ave,Customer,Female,1989"
"21742492,2019-01-01 01:06:14,2019-01-01 01:19:47,1018,813.0,240,Sheridan Rd & Irving Park Rd,465,Marine Dr & Ainslie St,Subscriber,Female,1991"
"21742493,2019-01-01 01:09:04,2019-01-01 01:16:50,3183,466.0,253,Winthrop Ave & Lawrence Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1988"
"21742494,2019-01-01 01:10:48,2019-01-01 01:32:28,2517,""1,300.0"",290,Kedzie Ave & Palmer Ct,476,Kedzie Ave & Leland Ave,Customer,,"
"21742495,2019-01-01 01:12:42,2019-01-01 01:20:55,166,493.0,460,Clark St & Bryn Mawr Ave,457,Clark St & Elmdale Ave,Subscriber,Male,1988"
"21742496,2019-01-01 01:14:12,2019-01-01 01:32:34,5896,""1,102.0"",236,Sedgwick St & Schiller St,84,Milwaukee Ave & Grand Ave,Subscriber,Male,1985"
"21742497,2019-01-01 01:14:25,2019-01-01 01:22:15,2993,470.0,194,Wabash Ave & Wacker Pl,133,Kingsbury St & Kinzie St,Subscriber,Male,1979"
"21742498,2019-01-01 01:17:23,2019-01-01 01:33:30,374,967.0,367,Racine Ave & 35th St,9,Leavitt St & Archer Ave,Customer,,"
"21742499,2019-01-01 01:17:33,2019-01-01 01:33:51,1776,978.0,367,Racine Ave & 35th St,9,Leavitt St & Archer Ave,Customer,,"
"21742500,2019-01-01 01:17:59,2019-01-01 01:40:45,341,""1,366.0"",316,Damen Ave & Sunnyside Ave,457,Clark St & Elmdale Ave,Customer,,"
"21742501,2019-01-01 01:18:17,2019-01-01 01:41:01,4507,""1,364.0"",316,Damen Ave & Sunnyside Ave,457,Clark St & Elmdale Ave,Customer,,"
"21742502,2019-01-01 01:20:55,2019-01-01 01:24:37,1850,222.0,152,Lincoln Ave & Diversey Pkwy,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Male,1984"
"21742504,2019-01-01 01:22:05,2019-01-01 01:31:12,24,547.0,359,Larrabee St & Division St,141,Clark St & Lincoln Ave,Subscriber,Male,1985"
"21742505,2019-01-01 01:23:13,2019-01-01 02:07:47,628,""2,674.0"",260,Kedzie Ave & Milwaukee Ave,240,Sheridan Rd & Irving Park Rd,Customer,,"
"21742506,2019-01-01 01:24:19,2019-01-01 01:31:22,2833,423.0,71,Morgan St & Lake St,22,May St & Taylor St,Subscriber,Male,1993"
"21742507,2019-01-01 01:25:01,2019-01-01 02:04:22,3238,""2,361.0"",199,Wabash Ave & Grand Ave,106,State St & Pearson St,Subscriber,Male,1992"
"21742508,2019-01-01 01:26:27,2019-01-01 01:45:56,4105,""1,169.0"",29,Noble St & Milwaukee Ave,137,Morgan Ave & 14th Pl,Subscriber,Female,1952"
"21742509,2019-01-01 01:27:25,2019-01-01 01:41:38,2262,853.0,230,Lincoln Ave & Roscoe St,232,Pine Grove Ave & Waveland Ave,Subscriber,Male,1989"
"21742510,2019-01-01 01:28:47,2019-01-01 01:45:04,3046,977.0,199,Wabash Ave & Grand Ave,338,Calumet Ave & 18th St,Subscriber,Male,1980"
"21742511,2019-01-01 01:29:16,2019-01-01 01:32:07,4317,171.0,77,Clinton St & Madison St,66,Clinton St & Lake St,Subscriber,Male,1974"
"21742512,2019-01-01 01:30:28,2019-01-01 01:35:51,5080,323.0,94,Clark St & Armitage Ave,126,Clark St & North Ave,Subscriber,Male,1994"
"21742513,2019-01-01 01:31:29,2019-01-01 01:40:31,610,542.0,113,Bissell St & Armitage Ave,340,Clark St & Wrightwood Ave,Subscriber,Male,1995"
"21742514,2019-01-01 01:34:22,2019-01-01 01:48:40,5356,858.0,168,Michigan Ave & 14th St,129,Blue Island Ave & 18th St,Subscriber,Male,1985"
"21742515,2019-01-01 01:35:13,2019-01-01 01:39:29,1268,256.0,86,Eckhart Park,637,Wood St & Chicago Ave (*),Subscriber,Male,1988"
"21742516,2019-01-01 01:36:23,2019-01-01 01:47:22,5939,659.0,85,Michigan Ave & Oak St,38,Clark St & Lake St,Subscriber,Male,1990"
"21742517,2019-01-01 01:37:42,2019-01-01 01:45:00,1330,438.0,128,Damen Ave & Chicago Ave,54,Ogden Ave & Chicago Ave,Subscriber,Male,1990"
"21742518,2019-01-01 01:38:29,2019-01-01 01:46:58,5157,509.0,87,Racine Ave & Fullerton Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Female,1977"
"21742519,2019-01-01 01:40:08,2019-01-01 01:46:44,2371,396.0,114,Sheffield Ave & Waveland Ave,347,Ashland Ave & Grace St,Subscriber,Female,1986"
"21742520,2019-01-01 01:40:12,2019-01-01 01:46:44,4812,392.0,114,Sheffield Ave & Waveland Ave,347,Ashland Ave & Grace St,Subscriber,Male,1986"
"21742521,2019-01-01 01:45:23,2019-01-01 02:00:46,476,923.0,239,Western Ave & Leland Ave,227,Southport Ave & Waveland Ave,Subscriber,Female,1995"
"21742522,2019-01-01 01:45:56,2019-01-01 01:53:29,5441,453.0,117,Wilton Ave & Belmont Ave,303,Broadway & Cornelia Ave,Subscriber,Female,1992"
"21742523,2019-01-01 01:46:02,2019-01-01 01:53:29,4522,447.0,117,Wilton Ave & Belmont Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1994"
"21742524,2019-01-01 01:46:09,2019-01-01 02:07:32,4333,""1,283.0"",35,Streeter Dr & Grand Ave,37,Dearborn St & Adams St,Customer,,"
"21742525,2019-01-01 01:46:14,2019-01-01 02:07:13,3077,""1,259.0"",35,Streeter Dr & Grand Ave,37,Dearborn St & Adams St,Customer,,"
"21742526,2019-01-01 01:47:05,2019-01-01 01:57:32,5903,627.0,318,Southport Ave & Irving Park Rd,229,Southport Ave & Roscoe St,Customer,,"
"21742528,2019-01-01 01:47:35,2019-01-01 01:56:19,435,524.0,291,Wells St & Evergreen Ave,212,Wells St & Hubbard St,Subscriber,Male,1995"
"21742529,2019-01-01 01:47:57,2019-01-01 02:21:15,2326,""1,998.0"",197,Michigan Ave & Madison St,123,California Ave & Milwaukee Ave,Subscriber,Male,1971"
"21742530,2019-01-01 01:49:30,2019-01-01 01:57:47,4041,497.0,47,State St & Kinzie St,195,Columbus Dr & Randolph St,Subscriber,Female,1989"
"21742531,2019-01-01 01:49:30,2019-01-01 01:57:40,4598,490.0,47,State St & Kinzie St,195,Columbus Dr & Randolph St,Subscriber,Male,1989"
"21742532,2019-01-01 01:49:47,2019-01-01 01:58:48,2872,541.0,331,Halsted St & Clybourn Ave (*),58,Marshfield Ave & Cortland St,Subscriber,Male,1987"
"21742533,2019-01-01 01:52:40,2019-01-01 02:20:55,4940,""1,695.0"",289,Wells St & Concord Ln,273,Michigan Ave & 18th St,Subscriber,Male,1987"
"21742534,2019-01-01 01:52:49,2019-01-01 01:55:46,4732,177.0,46,Wells St & Walton St,23,Orleans St & Elm St (*),Subscriber,Female,1976"
"21742535,2019-01-01 01:54:11,2019-01-01 01:59:13,59,302.0,115,Sheffield Ave & Wellington Ave,153,Southport Ave & Wellington Ave,Subscriber,Male,1989"
"21742536,2019-01-01 01:56:43,2019-01-01 02:00:31,3691,228.0,254,Pine Grove Ave & Irving Park Rd,232,Pine Grove Ave & Waveland Ave,Subscriber,Female,1984"
"21742537,2019-01-01 02:00:36,2019-01-01 02:16:44,1830,968.0,16,Paulina Ave & North Ave,131,Lincoln Ave & Belmont Ave,Subscriber,Male,1987"
"21742538,2019-01-01 02:03:24,2019-01-01 02:07:24,3119,240.0,44,State St & Randolph St,195,Columbus Dr & Randolph St,Subscriber,Male,1993"
"21742539,2019-01-01 02:03:52,2019-01-01 02:09:07,1328,315.0,113,Bissell St & Armitage Ave,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1994"
"21742540,2019-01-01 02:04:36,2019-01-01 02:43:04,3238,""2,308.0"",106,State St & Pearson St,198,Green St & Madison St,Subscriber,Male,1992"
"21742541,2019-01-01 02:05:36,2019-01-01 02:08:32,654,176.0,152,Lincoln Ave & Diversey Pkwy,87,Racine Ave & Fullerton Ave,Subscriber,Male,1993"
"21742542,2019-01-01 02:06:02,2019-01-01 02:15:21,2097,559.0,231,Sheridan Rd & Montrose Ave,295,Broadway & Argyle St,Subscriber,Male,1981"
"21742543,2019-01-01 02:07:11,2019-01-01 02:12:50,2563,339.0,226,Racine Ave & Belmont Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1983"
"21742544,2019-01-01 02:11:14,2019-01-01 02:32:56,3426,""1,302.0"",229,Southport Ave & Roscoe St,289,Wells St & Concord Ln,Subscriber,Male,1989"
"21742545,2019-01-01 02:16:09,2019-01-01 02:26:48,6449,639.0,72,Wabash Ave & 16th St,193,State St & 29th St,Subscriber,Male,1982"
"21742546,2019-01-01 02:16:16,2019-01-01 02:21:40,1494,324.0,117,Wilton Ave & Belmont Ave,334,Lake Shore Dr & Belmont Ave,Subscriber,Male,1983"
"21742548,2019-01-01 02:20:14,2019-01-01 02:34:37,111,863.0,24,Fairbanks Ct & Grand Ave,21,Aberdeen St & Jackson Blvd,Subscriber,Male,1993"
"21742549,2019-01-01 02:21:04,2019-01-02 09:35:30,2048,""112,466.0"",69,Damen Ave & Pierce Ave,67,Sheffield Ave & Fullerton Ave,Customer,Male,1994"
"21742550,2019-01-01 02:23:21,2019-01-01 02:28:28,2739,307.0,273,Michigan Ave & 18th St,168,Michigan Ave & 14th St,Subscriber,Male,1982"
"21742551,2019-01-01 02:23:37,2019-01-01 02:25:30,332,113.0,217,Racine Ave (May St) & Fulton St,654,Racine Ave & Washington Blvd (*),Subscriber,Male,1989"
"21742552,2019-01-01 02:24:37,2019-01-01 02:53:59,4246,""1,762.0"",35,Streeter Dr & Grand Ave,282,Halsted St & Maxwell St,Customer,,"
"21742553,2019-01-01 02:26:16,2019-01-01 02:56:54,5071,""1,838.0"",323,Sheridan Rd & Lawrence Ave,299,Halsted St & Roscoe St,Subscriber,Male,1984"
"21742554,2019-01-01 02:27:52,2019-01-01 02:30:52,4885,180.0,220,Clark St & Drummond Pl,349,Halsted St & Wrightwood Ave,Subscriber,Male,1993"
"21742555,2019-01-01 02:27:58,2019-01-01 02:41:17,4692,799.0,482,Campbell Ave & Montrose Ave,293,Broadway & Wilson Ave,Subscriber,Male,1990"
"21742556,2019-01-01 02:30:39,2019-01-01 02:36:36,127,357.0,145,Mies van der Rohe Way & Chestnut St,110,Dearborn St & Erie St,Subscriber,Female,1969"
"21742558,2019-01-01 02:30:52,2019-01-01 02:36:17,5051,325.0,504,Campbell Ave & Fullerton Ave,123,California Ave & Milwaukee Ave,Subscriber,Male,1985"
"21742559,2019-01-01 02:31:26,2019-01-01 02:42:48,2437,682.0,49,Dearborn St & Monroe St,74,Kingsbury St & Erie St,Subscriber,Male,1962"
"21742560,2019-01-01 02:32:38,2019-01-01 02:43:30,5707,652.0,161,Rush St & Superior St,133,Kingsbury St & Kinzie St,Subscriber,Male,1989"
"21742561,2019-01-01 02:33:22,2019-01-01 02:39:11,1447,349.0,497,Kimball Ave & Belmont Ave,497,Kimball Ave & Belmont Ave,Subscriber,Male,1984"
"21742562,2019-01-01 02:33:26,2019-01-01 02:36:53,4466,207.0,497,Kimball Ave & Belmont Ave,497,Kimball Ave & Belmont Ave,Subscriber,Female,1986"
"21742563,2019-01-01 02:33:55,2019-01-01 02:37:29,5213,214.0,72,Wabash Ave & 16th St,338,Calumet Ave & 18th St,Subscriber,Male,1983"
"21742564,2019-01-01 02:35:00,2019-01-01 02:44:21,2517,561.0,476,Kedzie Ave & Leland Ave,485,Sawyer Ave & Irving Park Rd,Customer,Male,1975"
"21742565,2019-01-01 02:36:43,2019-01-01 02:38:39,6271,116.0,321,Wabash Ave & 9th St,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1993"
"21742566,2019-01-01 02:37:26,2019-01-01 02:55:03,3426,""1,057.0"",289,Wells St & Concord Ln,142,McClurg Ct & Erie St,Subscriber,Male,1988"
"21742567,2019-01-01 02:41:44,2019-01-01 03:07:22,4751,""1,538.0"",509,Troy St & North Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1982"
"21742568,2019-01-01 02:43:12,2019-01-01 03:18:32,3238,""2,120.0"",198,Green St & Madison St,627,LaSalle Dr & Huron St (*),Subscriber,Male,1992"
"21742569,2019-01-01 02:47:31,2019-01-01 03:08:51,2947,""1,280.0"",224,Halsted St & Willow St,175,Wells St & Polk St,Subscriber,Male,1989"
"21742570,2019-01-01 02:50:35,2019-01-01 02:53:00,6271,145.0,59,Wabash Ave & Roosevelt Rd,321,Wabash Ave & 9th St,Subscriber,Male,1993"
"21742571,2019-01-01 02:51:20,2019-01-01 03:36:56,544,""2,736.0"",318,Southport Ave & Irving Park Rd,119,Ashland Ave & Lake St (Temp),Subscriber,Male,1954"
"21742572,2019-01-01 02:51:41,2019-01-01 02:58:42,444,421.0,128,Damen Ave & Chicago Ave,69,Damen Ave & Pierce Ave,Subscriber,Male,1984"
"21742573,2019-01-01 02:52:49,2019-01-01 02:58:41,5157,352.0,332,Burling St (Halsted) & Diversey Pkwy (Temp),226,Racine Ave & Belmont Ave,Subscriber,Male,1984"
"21742574,2019-01-01 02:52:29,2019-01-01 02:57:11,5707,282.0,133,Kingsbury St & Kinzie St,133,Kingsbury St & Kinzie St,Subscriber,Male,1990"
"21742575,2019-01-01 02:58:08,2019-01-01 03:04:45,4997,397.0,230,Lincoln Ave & Roscoe St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1991"
"21742576,2019-01-01 03:00:46,2019-01-01 03:24:31,1247,""1,425.0"",106,State St & Pearson St,128,Damen Ave & Chicago Ave,Subscriber,Male,1972"
"21742577,2019-01-01 03:00:49,2019-01-01 03:10:52,3892,603.0,100,Orleans St & Merchandise Mart Plaza,287,Franklin St & Monroe St,Customer,,"
"21742578,2019-01-01 03:02:52,2019-01-01 03:13:44,5846,652.0,117,Wilton Ave & Belmont Ave,257,Lincoln Ave & Waveland Ave,Customer,,"
"21742579,2019-01-01 03:04:34,2019-01-01 03:08:01,2513,207.0,238,Wolcott (Ravenswood) Ave & Montrose Ave (*),314,Ravenswood Ave & Berteau Ave,Subscriber,Female,1987"
"21742580,2019-01-01 03:09:28,2019-01-01 03:14:56,770,328.0,419,Lake Park Ave & 53rd St,322,Kimbark Ave & 53rd St,Subscriber,Male,1991"
"21742582,2019-01-01 03:16:06,2019-01-01 03:33:43,507,""1,057.0"",260,Kedzie Ave & Milwaukee Ave,86,Eckhart Park,Subscriber,Male,1989"
"21742583,2019-01-01 03:18:42,2019-01-01 04:03:11,3238,""2,669.0"",627,LaSalle Dr & Huron St (*),627,LaSalle Dr & Huron St (*),Subscriber,Male,1992"
"21742585,2019-01-01 03:21:21,2019-01-01 03:32:37,3535,676.0,306,Sheridan Rd & Buena Ave,326,Clark St & Leland Ave,Customer,,"
"21742586,2019-01-01 03:25:42,2019-01-01 03:27:46,3389,124.0,145,Mies van der Rohe Way & Chestnut St,145,Mies van der Rohe Way & Chestnut St,Customer,,"
"21742587,2019-01-01 03:29:04,2019-01-01 03:31:35,2773,151.0,632,Clark St & Newport St,114,Sheffield Ave & Waveland Ave,Subscriber,Male,1994"
"21742588,2019-01-01 03:30:29,2019-01-01 03:40:19,1237,590.0,210,Ashland Ave & Division St,216,California Ave & Division St,Subscriber,Male,1997"
"21742589,2019-01-01 03:30:37,2019-01-01 04:09:39,223,""2,342.0"",145,Mies van der Rohe Way & Chestnut St,260,Kedzie Ave & Milwaukee Ave,Customer,,"
"21742590,2019-01-01 03:35:18,2019-01-01 03:44:29,3500,551.0,116,Western Ave & Winnebago Ave,506,Spaulding Ave & Armitage Ave,Subscriber,Male,1994"
"21742591,2019-01-01 03:35:34,2019-01-01 03:38:20,5202,166.0,81,Daley Center Plaza,37,Dearborn St & Adams St,Subscriber,Male,1990"
"21742592,2019-01-01 03:37:04,2019-01-01 04:12:01,5752,""2,097.0"",464,Damen Ave & Foster Ave,13,Wilton Ave & Diversey Pkwy,Subscriber,Male,1987"
"21742593,2019-01-01 03:54:28,2019-01-01 04:02:53,2586,505.0,67,Sheffield Ave & Fullerton Ave,343,Racine Ave & Wrightwood Ave,Subscriber,Male,1991"
"21742594,2019-01-01 03:57:29,2019-01-01 04:02:01,976,272.0,181,LaSalle St & Illinois St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1982"
"21742595,2019-01-01 04:04:44,2019-01-01 04:12:03,3922,439.0,350,Ashland Ave & Chicago Ave,61,Wood St & Milwaukee Ave,Subscriber,Male,1972"
"21742596,2019-01-01 04:05:03,2019-01-01 04:09:30,218,267.0,514,Ridge Blvd & Howard St,515,Paulina St & Howard St,Subscriber,Male,1951"
"21742597,2019-01-01 04:07:10,2019-01-02 06:37:40,3500,""95,430.0"",506,Spaulding Ave & Armitage Ave,506,Spaulding Ave & Armitage Ave,Customer,,"
"21742598,2019-01-01 04:07:36,2019-01-01 04:32:00,126,""1,464.0"",506,Spaulding Ave & Armitage Ave,506,Spaulding Ave & Armitage Ave,Customer,,"
"21742599,2019-01-01 04:08:51,2019-01-01 04:12:58,2109,247.0,67,Sheffield Ave & Fullerton Ave,343,Racine Ave & Wrightwood Ave,Subscriber,Female,1989"
"21742600,2019-01-01 04:09:11,2019-01-01 04:13:03,1343,232.0,67,Sheffield Ave & Fullerton Ave,343,Racine Ave & Wrightwood Ave,Subscriber,Male,1988"
"21742601,2019-01-01 04:10:27,2019-01-01 04:14:41,5839,254.0,483,Avondale Ave & Irving Park Rd,591,Kilbourn Ave & Milwaukee Ave,Subscriber,Male,1986"
"21742602,2019-01-01 04:14:49,2019-01-01 04:18:45,5752,236.0,13,Wilton Ave & Diversey Pkwy,220,Clark St & Drummond Pl,Subscriber,Male,1987"
"21742603,2019-01-01 04:54:14,2019-01-01 04:57:15,1848,181.0,405,Wentworth Ave & 35th St,278,Wallace St & 35th St,Subscriber,Male,1985"
"21742604,2019-01-01 04:56:30,2019-01-01 04:59:06,1602,156.0,59,Wabash Ave & Roosevelt Rd,72,Wabash Ave & 16th St,Subscriber,Male,1996"
"21742605,2019-01-01 05:00:49,2019-01-01 05:08:07,1105,438.0,572,State St & 76th St,570,Evans Ave & 75th St,Subscriber,Male,1964"
"21742606,2019-01-01 05:10:22,2019-01-01 05:20:22,3265,600.0,471,Francisco Ave & Foster Ave,474,Christiana Ave & Lawrence Ave,Customer,,"
"21742607,2019-01-01 05:25:00,2019-01-01 05:47:22,107,""1,342.0"",163,Damen Ave & Clybourn Ave,211,St. Clair St & Erie St,Subscriber,Male,1990"
"21742608,2019-01-01 05:33:55,2019-01-01 05:40:09,4390,374.0,7,Field Blvd & South Water St,211,St. Clair St & Erie St,Subscriber,Male,1987"
"21742609,2019-01-01 05:41:29,2019-01-01 05:51:41,1045,612.0,7,Field Blvd & South Water St,635,Fairbanks St & Superior St (*),Subscriber,Male,1987"
"21742610,2019-01-01 05:46:14,2019-01-01 05:49:21,5996,187.0,257,Lincoln Ave & Waveland Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1981"
"21742611,2019-01-01 05:46:56,2019-01-01 05:49:25,6307,149.0,52,Michigan Ave & Lake St,38,Clark St & Lake St,Subscriber,Male,1998"
"21742612,2019-01-01 06:01:13,2019-01-01 06:09:11,5398,478.0,394,Clark St & 9th St (AMLI),81,Daley Center Plaza,Subscriber,Male,1965"
"21742613,2019-01-01 06:01:59,2019-01-01 06:12:59,5344,660.0,134,Peoria St & Jackson Blvd,261,Hermitage Ave & Polk St,Subscriber,Female,1992"
"21742614,2019-01-01 06:09:14,2019-01-01 06:12:33,4521,199.0,49,Dearborn St & Monroe St,191,Canal St & Monroe St (*),Subscriber,Male,1993"
